Trans_ID,Date,Quantity,Total_Revenue,Product_Name,Unit_Cost,SubCat_Name,Category_Name,Store_Name,Customer_Name,Customer_City,Customer_Region
3,2025-01-05 18:56:00,1,320000.0,Custom Gaming PC,198987.0,Desktops,Computers,TechStore Tlemcen Ville,Omar Zerrouki,Ouargla,South
15,2024-02-12 16:57:00,1,42000.0,LG UltraGear,31127.0,Monitors,Computers,TechStore Tlemcen Ville,Rym Mansouri,Bejaia,North
19,2023-04-19 09:22:00,1,260000.0,Dell XPS 13,167880.0,Laptops,Computers,TechStore Bejaia Port,Sarah Guellil,Constantine,East
26,2024-07-02 17:20:00,1,24000.0,Dell 24 Monitor,15039.0,Monitors,Computers,TechStore Skikda Centre,Rym Haddad,Annaba,East
32,2024-10-19 15:01:00,1,42000.0,LG UltraGear,31127.0,Monitors,Computers,TechStore Setif Park,Lotfi Toumi,Ghardaia,South
43,2024-01-20 12:30:00,1,42000.0,LG UltraGear,31127.0,Monitors,Computers,TechStore Setif Park,Houda Talbi,Ouargla,South
55,2023-03-13 09:51:00,1,310000.0,Asus ROG Strix,196558.0,Laptops,Computers,TechStore Skikda Centre,Zineb Saidi,Setif,East
59,2024-06-09 10:40:00,1,24000.0,Dell 24 Monitor,15039.0,Monitors,Computers,TechStore Constantine Cirta,Khadidja Toumi,Ouargla,South
74,2025-06-30 13:57:00,1,310000.0,Asus ROG Strix,196558.0,Laptops,Computers,TechStore Setif Park,Zineb Toumi,Constantine,East
100,2024-10-05 11:37:00,1,42000.0,LG UltraGear,31127.0,Monitors,Computers,TechStore Alger Centre,Amine Khelifa,Skikda,East
113,2024-11-21 14:07:00,1,48000.0,Samsung Odyssey G5,31082.0,Monitors,Computers,TechStore Oran Bahia,Nabil Brahami,Alger,North
138,2023-07-10 11:56:00,1,42000.0,LG UltraGear,31127.0,Monitors,Computers,TechStore Bejaia Port,Karim Rahmani,Setif,East
139,2024-05-05 10:28:00,1,24000.0,Dell 24 Monitor,15039.0,Monitors,Computers,TechStore Bejaia Port,Lotfi Haddad,Oran,West
148,2025-06-15 17:02:00,1,48000.0,Samsung Odyssey G5,31082.0,Monitors,Computers,TechStore Oran Bahia,Ryad Toumi,Alger,North
149,2024-12-26 10:41:00,1,195000.0,MacBook Air M2,141052.0,Laptops,Computers,TechStore Alger Centre,Mohamed Khelifa,Bejaia,North
158,2023-11-14 10:00:00,1,260000.0,Dell XPS 13,167880.0,Laptops,Computers,TechStore Annaba Coast,Yacine Benali,Annaba,East
161,2023-07-25 10:20:00,1,48000.0,Samsung Odyssey G5,31082.0,Monitors,Computers,TechStore Constantine Cirta,Hichem Boukhalfa,Setif,East
174,2025-08-23 16:16:00,1,125000.0,HP Victus 15,87901.0,Laptops,Computers,TechStore Ouargla Sud,Amine Toumi,Oran,West
177,2023-02-16 12:16:00,1,320000.0,Custom Gaming PC,198987.0,Desktops,Computers,TechStore Annaba Coast,Manel Diaf,Tlemcen,West
194,2023-08-07 14:45:00,1,65000.0,Dell OptiPlex,40453.0,Desktops,Computers,TechStore Alger Centre,Fares Khelifa,Ghardaia,South
205,2024-08-04 12:18:00,1,24000.0,Dell 24 Monitor,15039.0,Monitors,Computers,TechStore Biskra Ziban,Mehdi Haddad,Tlemcen,West
211,2023-10-28 19:42:00,1,320000.0,Custom Gaming PC,198987.0,Desktops,Computers,TechStore Alger Centre,Billel Oukil,Annaba,East
227,2023-12-19 13:12:00,1,24000.0,Dell 24 Monitor,15039.0,Monitors,Computers,TechStore Constantine Cirta,Lina Mansouri,Setif,East
240,2023-09-04 15:47:00,1,320000.0,Custom Gaming PC,198987.0,Desktops,Computers,TechStore Setif Park,Imane Diaf,Skikda,East
276,2024-09-04 17:02:00,1,310000.0,Asus ROG Strix,196558.0,Laptops,Computers,TechStore Skikda Centre,Fatima Toumi,Oran,West
279,2023-08-19 11:39:00,1,85000.0,HP Pavilion Desktop,52017.0,Desktops,Computers,TechStore Setif Park,Zineb Djedid,Oran,West
315,2023-10-24 15:11:00,1,48000.0,Samsung Odyssey G5,31082.0,Monitors,Computers,TechStore Oran Bahia,Khadidja Diaf,Ghardaia,South
316,2024-07-30 13:45:00,1,85000.0,HP Pavilion Desktop,52017.0,Desktops,Computers,TechStore Alger Centre,Fares Brahami,Alger,North
323,2025-01-01 14:17:00,1,195000.0,MacBook Air M2,141052.0,Laptops,Computers,TechStore Tlemcen Ville,Mehdi Rahmani,Tlemcen,West
325,2023-12-30 19:54:00,1,85000.0,HP Pavilion Desktop,52017.0,Desktops,Computers,TechStore Setif Park,Sarah Boukhalfa,Annaba,East
328,2025-04-29 10:52:00,1,260000.0,Dell XPS 13,167880.0,Laptops,Computers,TechStore Tlemcen Ville,Fares Mebarki,Guelma,East
334,2023-07-04 14:00:00,1,85000.0,HP Pavilion Desktop,52017.0,Desktops,Computers,TechStore Alger Centre,Hichem Oukil,Oran,West
337,2024-04-24 13:07:00,1,85000.0,HP Pavilion Desktop,52017.0,Desktops,Computers,TechStore Tlemcen Ville,Yasmine Djerbal,Alger,North
345,2024-08-06 15:09:00,1,24000.0,Dell 24 Monitor,15039.0,Monitors,Computers,TechStore Tlemcen Ville,Khadidja Mekki,Ghardaia,South
367,2023-06-20 09:29:00,1,98000.0,Lenovo ThinkPad,63780.0,Laptops,Computers,TechStore Guelma 8 Mai,Khadidja Diaf,Ghardaia,South
387,2024-01-12 12:56:00,1,42000.0,LG UltraGear,31127.0,Monitors,Computers,TechStore Setif Park,Lina Brahami,Tlemcen,West
404,2023-10-19 17:47:00,1,24000.0,Dell 24 Monitor,15039.0,Monitors,Computers,TechStore Ouargla Sud,Sami Diaf,Oran,West
407,2024-09-15 10:48:00,1,48000.0,Samsung Odyssey G5,31082.0,Monitors,Computers,TechStore Skikda Centre,Nabil Bouchareb,Skikda,East
411,2024-02-05 13:22:00,1,195000.0,MacBook Air M2,141052.0,Laptops,Computers,TechStore Constantine Cirta,Meriem Diaf,Annaba,East
422,2023-10-31 10:17:00,1,65000.0,Dell OptiPlex,40453.0,Desktops,Computers,TechStore Ouargla Sud,Omar Haddad,Setif,East
432,2025-05-13 18:01:00,1,48000.0,Samsung Odyssey G5,31082.0,Monitors,Computers,TechStore Biskra Ziban,Ryad Boukhalfa,Bejaia,North
438,2024-08-12 18:47:00,1,98000.0,Lenovo ThinkPad,63780.0,Laptops,Computers,TechStore Ghardaia Oasis,Khaled Toumi,Guelma,East
460,2024-03-29 19:53:00,1,42000.0,LG UltraGear,31127.0,Monitors,Computers,TechStore Skikda Centre,Amine Bouzid,Ghardaia,South
466,2023-03-10 16:17:00,1,42000.0,LG UltraGear,31127.0,Monitors,Computers,TechStore Constantine Cirta,Omar Oukil,Oran,West
480,2023-12-13 14:29:00,1,98000.0,Lenovo ThinkPad,63780.0,Laptops,Computers,TechStore Alger Centre,Karim Boukhalfa,Annaba,East
493,2024-03-10 19:18:00,1,85000.0,HP Pavilion Desktop,52017.0,Desktops,Computers,TechStore Skikda Centre,Ryad Amrani,Ghardaia,South
496,2023-07-30 16:21:00,1,48000.0,Samsung Odyssey G5,31082.0,Monitors,Computers,TechStore Oran Bahia,Sarah Guellil,Constantine,East
505,2023-12-07 19:52:00,1,24000.0,Dell 24 Monitor,15039.0,Monitors,Computers,TechStore Oran Bahia,Lina Khelifa,Guelma,East
509,2025-04-16 13:03:00,1,42000.0,LG UltraGear,31127.0,Monitors,Computers,TechStore Skikda Centre,Asma Mekki,Annaba,East
513,2023-05-04 15:06:00,1,42000.0,LG UltraGear,31127.0,Monitors,Computers,TechStore Setif Park,Yasmine Diaf,Setif,East
